sample ID	forward sequence count	reverse sequence count
BAQ1370.1.2	4	4
BAQ1370.1.3	16	16
BAQ1370.3	2	2
BAQ1552.1.1	23	23
BAQ1552.2	6	6
BAQ2420.1.1	2259	2259
BAQ2420.1.2	2205	2205
BAQ2420.1.3	2094	2094
BAQ2420.2	2047	2047
BAQ2420.3	2087	2087
BAQ2462.1	2984	2984
BAQ2462.2	1920	1920
BAQ2462.3	1527	1527
BAQ2687.1	2738	2738
BAQ2687.2	2124	2124
BAQ2687.3	2752	2752
BAQ2838.1	1916	1916
BAQ2838.2	1765	1765
BAQ2838.3	1235	1235
BAQ3473.1	3707	3707
BAQ3473.2	3095	3095
BAQ3473.3	3802	3802
BAQ4166.1.1	3294	3294
BAQ4166.1.2	4223	4223
BAQ4166.1.3	3154	3154
BAQ4166.2	3958	3958
BAQ4166.3	3986	3986
BAQ4697.1	2642	2642
BAQ4697.2	2430	2430
BAQ4697.3	3485	3485
BAQ895.2	18	18
BAQ895.3	3	3
YUN1005.1.1	2699	2699
YUN1005.1.3	17	17
YUN1005.2	4	4
YUN1005.3	1338	1338
YUN1242.1	1828	1828
YUN1242.2	42	42
YUN1242.3	2341	2341
YUN1609.1	2374	2374
YUN1609.3	4	4
YUN2029.1	17	17
YUN2029.2	2805	2805
YUN2029.3	5	5
YUN3008.1.1	8	8
YUN3008.1.2	3	3
YUN3008.1.3	21	21
YUN3008.2	2	2
YUN3008.3	12	12
YUN3153.1	8	8
YUN3153.2	1441	1441
YUN3153.3	1817	1817
YUN3184.1	3	3
YUN3184.2	11	11
YUN3259.1.1	195	195
YUN3259.1.2	2109	2109
YUN3259.1.3	899	899
YUN3259.2	3182	3182
YUN3259.3	3263	3263
YUN3346.1	2109	2109
YUN3346.2	597	597
YUN3346.3	2482	2482
YUN3428.1	3187	3187
YUN3428.2	4560	4560
YUN3428.3	3361	3361
YUN3533.1.1	2945	2945
YUN3533.1.2	2930	2930
YUN3533.1.3	2497	2497
YUN3533.2	3795	3795
YUN3533.3	3948	3948
YUN3856.1.1	3192	3192
YUN3856.1.2	3058	3058
YUN3856.1.3	2350	2350
YUN3856.2	3063	3063
YUN3856.3	3949	3949
